month,property_type,region,metric,basis,value,unit,source_report,revised
2024-01,detached,仙台市,成約件数,mom_pct,-19.6,％,2025-01,False
2024-02,detached,仙台市,成約件数,mom_pct,24.4,％,2025-02,False
2024-03,detached,仙台市,成約件数,mom_pct,15.7,％,2025-03,False
2024-04,detached,仙台市,成約件数,mom_pct,-40.7,％,2025-03,False
2024-05,detached,仙台市,成約件数,mom_pct,-14.3,％,2025-03,False
2024-06,detached,仙台市,成約件数,mom_pct,63.3,％,2025-03,False
2024-07,detached,仙台市,成約件数,mom_pct,14.3,％,2025-03,False
2024-08,detached,仙台市,成約件数,mom_pct,-35.7,％,2025-03,False
2024-09,detached,仙台市,成約件数,mom_pct,16.7,％,2025-03,False
2024-10,detached,仙台市,成約件数,mom_pct,7.1,％,2025-03,False
2024-11,detached,仙台市,成約件数,mom_pct,-2.2,％,2025-03,False
2024-12,detached,仙台市,成約件数,mom_pct,-22.7,％,2025-03,False
2025-01,detached,仙台市,成約件数,mom_pct,-11.8,％,2025-03,False
2025-02,detached,仙台市,成約件数,mom_pct,56.7,％,2025-03,False
2025-03,detached,仙台市,成約件数,mom_pct,46.8,％,2025-03,False
2024-01,detached,仙台市,成約件数,value,41,件,2025-01,False
2024-02,detached,仙台市,成約件数,value,51,件,2025-02,False
2024-03,detached,仙台市,成約件数,value,59,件,2025-03,False
2024-04,detached,仙台市,成約件数,value,35,件,2025-04,False
2024-05,detached,仙台市,成約件数,value,30,件,2025-05,False
2024-06,detached,仙台市,成約件数,value,49,件,2025-06,False
2024-07,detached,仙台市,成約件数,value,56,件,2025-06,False
2024-08,detached,仙台市,成約件数,value,36,件,2025-06,False
2024-09,detached,仙台市,成約件数,value,42,件,2025-06,False
2024-10,detached,仙台市,成約件数,value,45,件,2025-06,False
2024-11,detached,仙台市,成約件数,value,44,件,2025-06,False
2024-12,detached,仙台市,成約件数,value,34,件,2025-06,False
2025-01,detached,仙台市,成約件数,value,30,件,2025-06,False
2025-02,detached,仙台市,成約件数,value,47,件,2025-06,False
2025-03,detached,仙台市,成約件数,value,69,件,2025-06,False
2025-04,detached,仙台市,成約件数,value,52,件,2025-06,False
2025-05,detached,仙台市,成約件数,value,59,件,2025-06,False
2025-06,detached,仙台市,成約件数,value,68,件,2025-06,False
2024-01,detached,仙台市,成約件数,yoy_pct,10.8,％,2025-01,False
2024-02,detached,仙台市,成約件数,yoy_pct,-1.9,％,2025-02,False
2024-03,detached,仙台市,成約件数,yoy_pct,22.9,％,2025-03,False
2024-04,detached,仙台市,成約件数,yoy_pct,-2.8,％,2025-04,False
2024-05,detached,仙台市,成約件数,yoy_pct,-34.8,％,2025-05,False
2024-06,detached,仙台市,成約件数,yoy_pct,36.1,％,2025-06,False
2024-07,detached,仙台市,成約件数,yoy_pct,43.6,％,2025-06,False
2024-08,detached,仙台市,成約件数,yoy_pct,12.5,％,2025-06,False
2024-09,detached,仙台市,成約件数,yoy_pct,5.0,％,2025-06,False
2024-10,detached,仙台市,成約件数,yoy_pct,25.0,％,2025-06,False
2024-11,detached,仙台市,成約件数,yoy_pct,22.2,％,2025-06,False
2024-12,detached,仙台市,成約件数,yoy_pct,-33.3,％,2025-06,False
2025-01,detached,仙台市,成約件数,yoy_pct,-26.8,％,2025-06,False
2025-02,detached,仙台市,成約件数,yoy_pct,-7.8,％,2025-06,False
2025-03,detached,仙台市,成約件数,yoy_pct,16.9,％,2025-06,False
2025-04,detached,仙台市,成約件数,yoy_pct,48.6,％,2025-06,False
2025-05,detached,仙台市,成約件数,yoy_pct,96.7,％,2025-06,False
2025-06,detached,仙台市,成約件数,yoy_pct,38.8,％,2025-06,False
2024-01,detached,仙台市,成約価格,mom_pct,-13.7,％,2025-01,False
2024-02,detached,仙台市,成約価格,mom_pct,4.0,％,2025-02,False
2024-03,detached,仙台市,成約価格,mom_pct,5.2,％,2025-03,False
2024-04,detached,仙台市,成約価格,mom_pct,-11.9,％,2025-04,False
2024-05,detached,仙台市,成約価格,mom_pct,4.7,％,2025-05,False
2024-06,detached,仙台市,成約価格,mom_pct,7.8,％,2025-06,False
2024-07,detached,仙台市,成約価格,mom_pct,-18.8,％,2025-06,False
2024-08,detached,仙台市,成約価格,mom_pct,17.3,％,2025-06,False
2024-09,detached,仙台市,成約価格,mom_pct,-17.5,％,2025-06,False
2024-10,detached,仙台市,成約価格,mom_pct,0.3,％,2025-06,False
2024-11,detached,仙台市,成約価格,mom_pct,-1.1,％,2025-06,False
2024-12,detached,仙台市,成約価格,mom_pct,18.2,％,2025-06,False
2025-01,detached,仙台市,成約価格,mom_pct,4.0,％,2025-06,False
2025-02,detached,仙台市,成約価格,mom_pct,-15.3,％,2025-06,False
2025-03,detached,仙台市,成約価格,mom_pct,15.2,％,2025-06,False
2025-04,detached,仙台市,成約価格,mom_pct,-8.8,％,2025-06,False
2025-05,detached,仙台市,成約価格,mom_pct,-3.4,％,2025-06,False
2025-06,detached,仙台市,成約価格,mom_pct,13.0,％,2025-06,False
2024-01,detached,仙台市,成約価格,value,2738,万円,2025-01,False
2024-02,detached,仙台市,成約価格,value,2848,万円,2025-02,False
2024-03,detached,仙台市,成約価格,value,2995,万円,2025-03,False
2024-04,detached,仙台市,成約価格,value,2639,万円,2025-04,False
2024-05,detached,仙台市,成約価格,value,2763,万円,2025-05,False
2024-06,detached,仙台市,成約価格,value,2979.0,万円,2025-06,False
2024-07,detached,仙台市,成約価格,value,2418.0,万円,2025-06,False
2024-08,detached,仙台市,成約価格,value,2837.0,万円,2025-06,False
2024-09,detached,仙台市,成約価格,value,2341.0,万円,2025-06,False
2024-10,detached,仙台市,成約価格,value,2348.0,万円,2025-06,False
2024-11,detached,仙台市,成約価格,value,2321.0,万円,2025-06,False
2024-12,detached,仙台市,成約価格,value,2743.0,万円,2025-06,False
2025-01,detached,仙台市,成約価格,value,2854.0,万円,2025-06,False
2025-02,detached,仙台市,成約価格,value,2417.0,万円,2025-06,False
2025-03,detached,仙台市,成約価格,value,2784.0,万円,2025-06,False
2025-04,detached,仙台市,成約価格,value,2540.0,万円,2025-06,False
2025-05,detached,仙台市,成約価格,value,2453.0,万円,2025-06,False
2025-06,detached,仙台市,成約価格,value,2772.0,万円,2025-06,False
2024-01,detached,仙台市,成約価格,yoy_pct,10.9,％,2025-01,False
2024-02,detached,仙台市,成約価格,yoy_pct,3.9,％,2025-02,False
2024-03,detached,仙台市,成約価格,yoy_pct,2.2,％,2025-03,False
2024-04,detached,仙台市,成約価格,yoy_pct,7.9,％,2025-04,False
2024-05,detached,仙台市,成約価格,yoy_pct,14.0,％,2025-05,False
2024-06,detached,仙台市,成約価格,yoy_pct,0.8,％,2025-06,False
2024-07,detached,仙台市,成約価格,yoy_pct,-20.2,％,2025-06,False
2024-08,detached,仙台市,成約価格,yoy_pct,-7.1,％,2025-06,False
2024-09,detached,仙台市,成約価格,yoy_pct,-21.7,％,2025-06,False
2024-10,detached,仙台市,成約価格,yoy_pct,-17.9,％,2025-06,False
2024-11,detached,仙台市,成約価格,yoy_pct,-34.5,％,2025-06,False
2024-12,detached,仙台市,成約価格,yoy_pct,-13.6,％,2025-06,False
2025-01,detached,仙台市,成約価格,yoy_pct,4.2,％,2025-06,False
2025-02,detached,仙台市,成約価格,yoy_pct,-15.1,％,2025-06,False
2025-03,detached,仙台市,成約価格,yoy_pct,-7.0,％,2025-06,False
2025-04,detached,仙台市,成約価格,yoy_pct,-3.7,％,2025-06,False
2025-05,detached,仙台市,成約価格,yoy_pct,-11.2,％,2025-06,False
2025-06,detached,仙台市,成約価格,yoy_pct,-7.0,％,2025-06,False
2024-04,detached,仙台市,成約土地面積,mom_pct,6.5,％,2025-04,False
2024-05,detached,仙台市,成約土地面積,mom_pct,8.2,％,2025-05,False
2024-06,detached,仙台市,成約土地面積,mom_pct,-19.8,％,2025-06,False
2024-07,detached,仙台市,成約土地面積,mom_pct,9.8,％,2025-06,False
2024-08,detached,仙台市,成約土地面積,mom_pct,7.5,％,2025-06,False
2024-09,detached,仙台市,成約土地面積,mom_pct,18.8,％,2025-06,False
2024-10,detached,仙台市,成約土地面積,mom_pct,-26.2,％,2025-06,False
2024-11,detached,仙台市,成約土地面積,mom_pct,1.5,％,2025-06,False
2024-12,detached,仙台市,成約土地面積,mom_pct,12.5,％,2025-06,False
2025-01,detached,仙台市,成約土地面積,mom_pct,-2.6,％,2025-06,False
2025-02,detached,仙台市,成約土地面積,mom_pct,-16.9,％,2025-06,False
2025-03,detached,仙台市,成約土地面積,mom_pct,11.2,％,2025-06,False
2025-04,detached,仙台市,成約土地面積,mom_pct,11.1,％,2025-06,False
2025-05,detached,仙台市,成約土地面積,mom_pct,-9.6,％,2025-06,False
2025-06,detached,仙台市,成約土地面積,mom_pct,-0.7,％,2025-06,False
2024-04,detached,仙台市,成約土地面積,value,238.81,㎡,2025-04,False
2024-05,detached,仙台市,成約土地面積,value,258.51,㎡,2025-05,False
2024-06,detached,仙台市,成約土地面積,value,207.28,㎡,2025-06,False
2024-07,detached,仙台市,成約土地面積,value,227.67,㎡,2025-06,False
2024-08,detached,仙台市,成約土地面積,value,244.82,㎡,2025-06,False
2024-09,detached,仙台市,成約土地面積,value,290.77,㎡,2025-06,False
2024-10,detached,仙台市,成約土地面積,value,214.7,㎡,2025-06,False
2024-11,detached,仙台市,成約土地面積,value,217.86,㎡,2025-06,False
2024-12,detached,仙台市,成約土地面積,value,245.09,㎡,2025-06,False
2025-01,detached,仙台市,成約土地面積,value,238.65,㎡,2025-06,False
2025-02,detached,仙台市,成約土地面積,value,198.27,㎡,2025-06,False
2025-03,detached,仙台市,成約土地面積,value,220.44,㎡,2025-06,False
2025-04,detached,仙台市,成約土地面積,value,244.87,㎡,2025-06,False
2025-05,detached,仙台市,成約土地面積,value,221.26,㎡,2025-06,False
2025-06,detached,仙台市,成約土地面積,value,219.8,㎡,2025-06,False
2024-04,detached,仙台市,成約土地面積,yoy_pct,7.7,％,2025-04,False
2024-05,detached,仙台市,成約土地面積,yoy_pct,14.4,％,2025-05,False
2024-06,detached,仙台市,成約土地面積,yoy_pct,-0.6,％,2025-06,False
2024-07,detached,仙台市,成約土地面積,yoy_pct,3.2,％,2025-06,False
2024-08,detached,仙台市,成約土地面積,yoy_pct,-0.7,％,2025-06,False
2024-09,detached,仙台市,成約土地面積,yoy_pct,29.3,％,2025-06,False
2024-10,detached,仙台市,成約土地面積,yoy_pct,2.9,％,2025-06,False
2024-11,detached,仙台市,成約土地面積,yoy_pct,5.9,％,2025-06,False
2024-12,detached,仙台市,成約土地面積,yoy_pct,6.4,％,2025-06,False
2025-01,detached,仙台市,成約土地面積,yoy_pct,-10.8,％,2025-06,False
2025-02,detached,仙台市,成約土地面積,yoy_pct,-4.7,％,2025-06,False
2025-03,detached,仙台市,成約土地面積,yoy_pct,-1.7,％,2025-06,False
2025-04,detached,仙台市,成約土地面積,yoy_pct,2.5,％,2025-06,False
2025-05,detached,仙台市,成約土地面積,yoy_pct,-14.4,％,2025-06,False
2025-06,detached,仙台市,成約土地面積,yoy_pct,6.0,％,2025-06,False
2024-04,detached,仙台市,成約建物面積,mom_pct,1.1,％,2025-04,False
2024-05,detached,仙台市,成約建物面積,mom_pct,7.8,％,2025-05,False
2024-06,detached,仙台市,成約建物面積,mom_pct,-15.2,％,2025-06,False
2024-07,detached,仙台市,成約建物面積,mom_pct,11.0,％,2025-06,False
2024-08,detached,仙台市,成約建物面積,mom_pct,-8.7,％,2025-06,False
2024-09,detached,仙台市,成約建物面積,mom_pct,5.7,％,2025-06,False
2024-10,detached,仙台市,成約建物面積,mom_pct,-3.8,％,2025-06,False
2024-11,detached,仙台市,成約建物面積,mom_pct,2.1,％,2025-06,False
2024-12,detached,仙台市,成約建物面積,mom_pct,1.5,％,2025-06,False
2025-01,detached,仙台市,成約建物面積,mom_pct,-1.7,％,2025-06,False
2025-02,detached,仙台市,成約建物面積,mom_pct,-2.9,％,2025-06,False
2025-03,detached,仙台市,成約建物面積,mom_pct,2.0,％,2025-06,False
2025-04,detached,仙台市,成約建物面積,mom_pct,-1.8,％,2025-06,False
2025-05,detached,仙台市,成約建物面積,mom_pct,0.2,％,2025-06,False
2025-06,detached,仙台市,成約建物面積,mom_pct,-0.8,％,2025-06,False
2024-04,detached,仙台市,成約建物面積,value,125.58,㎡,2025-04,False
2024-05,detached,仙台市,成約建物面積,value,135.4,㎡,2025-05,False
2024-06,detached,仙台市,成約建物面積,value,114.79,㎡,2025-06,False
2024-07,detached,仙台市,成約建物面積,value,127.4,㎡,2025-06,False
2024-08,detached,仙台市,成約建物面積,value,116.29,㎡,2025-06,False
2024-09,detached,仙台市,成約建物面積,value,122.91,㎡,2025-06,False
2024-10,detached,仙台市,成約建物面積,value,118.25,㎡,2025-06,False
2024-11,detached,仙台市,成約建物面積,value,120.74,㎡,2025-06,False
2024-12,detached,仙台市,成約建物面積,value,122.57,㎡,2025-06,False
2025-01,detached,仙台市,成約建物面積,value,120.45,㎡,2025-06,False
2025-02,detached,仙台市,成約建物面積,value,116.92,㎡,2025-06,False
2025-03,detached,仙台市,成約建物面積,value,119.22,㎡,2025-06,False
2025-04,detached,仙台市,成約建物面積,value,117.06,㎡,2025-06,False
2025-05,detached,仙台市,成約建物面積,value,117.25,㎡,2025-06,False
2025-06,detached,仙台市,成約建物面積,value,116.27,㎡,2025-06,False
2024-04,detached,仙台市,成約建物面積,yoy_pct,7.9,％,2025-04,False
2024-05,detached,仙台市,成約建物面積,yoy_pct,11.1,％,2025-05,False
2024-06,detached,仙台市,成約建物面積,yoy_pct,-2.6,％,2025-06,False
2024-07,detached,仙台市,成約建物面積,yoy_pct,1.7,％,2025-06,False
2024-08,detached,仙台市,成約建物面積,yoy_pct,-2.8,％,2025-06,False
2024-09,detached,仙台市,成約建物面積,yoy_pct,-2.9,％,2025-06,False
2024-10,detached,仙台市,成約建物面積,yoy_pct,1.6,％,2025-06,False
2024-11,detached,仙台市,成約建物面積,yoy_pct,1.4,％,2025-06,False
2024-12,detached,仙台市,成約建物面積,yoy_pct,-4.5,％,2025-06,False
2025-01,detached,仙台市,成約建物面積,yoy_pct,-7.8,％,2025-06,False
2025-02,detached,仙台市,成約建物面積,yoy_pct,-1.9,％,2025-06,False
2025-03,detached,仙台市,成約建物面積,yoy_pct,-4.0,％,2025-06,False
2025-04,detached,仙台市,成約建物面積,yoy_pct,-6.8,％,2025-06,False
2025-05,detached,仙台市,成約建物面積,yoy_pct,-13.4,％,2025-06,False
2025-06,detached,仙台市,成約建物面積,yoy_pct,1.3,％,2025-06,False
2024-04,detached,仙台市,成約築年数,value,22.17,年,2025-04,False
2024-05,detached,仙台市,成約築年数,value,23.49,年,2025-05,False
2024-06,detached,仙台市,成約築年数,value,21.69,年,2025-06,False
2024-07,detached,仙台市,成約築年数,value,27.62,年,2025-06,False
2024-08,detached,仙台市,成約築年数,value,19.92,年,2025-06,False
2024-09,detached,仙台市,成約築年数,value,26.08,年,2025-06,False
2024-10,detached,仙台市,成約築年数,value,26.19,年,2025-06,False
2024-11,detached,仙台市,成約築年数,value,23.69,年,2025-06,False
2024-12,detached,仙台市,成約築年数,value,24.73,年,2025-06,False
2025-01,detached,仙台市,成約築年数,value,22.62,年,2025-06,False
2025-02,detached,仙台市,成約築年数,value,27.38,年,2025-06,False
2025-03,detached,仙台市,成約築年数,value,24.64,年,2025-06,False
2025-04,detached,仙台市,成約築年数,value,24.03,年,2025-06,False
2025-05,detached,仙台市,成約築年数,value,25.9,年,2025-06,False
2025-06,detached,仙台市,成約築年数,value,24.8,年,2025-06,False
2024-01,detached,千葉県,成約件数,mom_pct,-13.3,％,2025-01,False
